,features,dicationary
last_total_days_business_total_to_whole_ratio,0.0029239766081871343,最近total天business_total_个数与总app数比值
last_total_days_shopping_total_cnt,3.0,最近total天shopping_total_个数
last_total_days_shopping_total_to_whole_ratio,0.008771929824561403,最近total天shopping_total_个数与总app数比值
last_total_days_gamble_total_cnt,0.0,最近total天gamble_total_个数
last_total_days_gamble_total_to_whole_ratio,0.0,最近total天gamble_total_个数与总app数比值
last_total_days_social_total_cnt,1.0,最近total天social_total_个数
last_total_days_social_total_to_whole_ratio,0.0029239766081871343,最近total天social_total_个数与总app数比值
last_total_days_others_total_cnt,0.0,最近total天others_total_个数
last_total_days_others_total_to_whole_ratio,0.0,最近total天others_total_个数与总app数比值
last_total_days_total_category_unique,14.0,最近totaltotal不同种类数
last_total_days_total_category_unique_to_whole_ratio,0.8235294117647058,最近totaltotal不同种类数与全种类比值
last_total_day_cash_app_cnt_total,9.0,最近total天现金贷apptotal数
last_total_day_gp_cash_app_cnt_total,0.0,最近total天现金贷google play 上的total数
last_total_day_un_gp_cash_app_cnt_total,9.0,最近total天现金贷非google play 上的total数
last_total_day_review_unpopular_app_total,3.0,最近total天_review_unpopular_app_total数
last_total_day_review_unpopular_app_total_to_whole_ratio,0.008771929824561403,最近total天_review_unpopular_app_total数与总数比值
last_total_day_review_unpopular_second_app_total,4.0,最近total天_review_unpopular_second_app_total数
last_total_day_review_unpopular_second_app_total_to_whole_ratio,0.011695906432748537,最近total天_review_unpopular_second_app_total数与总数比值
last_total_day_review_middle_app_total,13.0,最近total天_review_middle_app_total数
last_total_day_review_middle_app_total_to_whole_ratio,0.038011695906432746,最近total天_review_middle_app_total数与总数比值
last_total_day_review_popular_app_total,60.0,最近total天_review_popular_app_total数
last_total_day_review_popular_app_total_to_whole_ratio,0.17543859649122806,最近total天_review_popular_app_total数与总数比值
last_total_day_install_unpopular_app_total,4.0,最近total天_install_unpopular_app_total数
last_total_day_install_unpopular_app_total_to_whole_ratio,0.011695906432748537,最近total天_install_unpopular_app_total数与总数比值
last_total_day_install_unpopular_second_app_total,11.0,最近total天_install_unpopular_second_app_total数
last_total_day_install_unpopular_second_app_total_to_whole_ratio,0.03216374269005848,最近total天_install_unpopular_second_app_total数与总数比值
last_total_day_install_middle_app_total,9.0,最近total天_install_middle_app_total数
last_total_day_install_middle_app_total_to_whole_ratio,0.02631578947368421,最近total天_install_middle_app_total数与总数比值
last_total_day_install_popular_app_total,63.0,最近total天_install_popular_app_total数
last_total_day_install_popular_app_total_to_whole_ratio,0.18421052631578946,最近total天_install_popular_app_total数与总数比值
last_total_day_cash_install_unpopular_app_total,3.0,最近total天_cash_install_unpopular_app_total数
last_total_day_cash_install_unpopular_app_total_to_whole_ratio,0.008771929824561403,最近total天_cash_install_unpopular_app_total数与总数比值
